"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"ln_pred[36]",11.7139064093156,0.000117994499338382,0.0188840544784595,11.6767048971204,11.7012624236889,11.7139108819189,11.7264965585371,11.7509062873766,25613.3842963641,1.00006587705922
"ln_pred[37]",11.4244195670907,0.000181143836116935,0.0271332281229564,11.370883447583,11.4061064247576,11.4244521060459,11.4426419219541,11.4780677126751,22436.5362317569,1.00006427779403
"ln_pred[38]",11.4757220504427,0.000169581104429372,0.025588057549826,11.4252975151639,11.4584444102371,11.4757219084268,11.492854137041,11.5262837428568,22767.7292859333,1.00006477864455
"ln_pred[39]",11.4758506683236,0.000169552235940897,0.0255842165861135,11.4254335480273,11.4585754706863,11.4758518711289,11.4929789207449,11.5264049534015,22768.6459178737,1.00006477986336
"ln_pred[40]",11.7918328075947,0.000102543503674604,0.0169608868748175,11.7585441126769,11.7805211626526,11.7918050708335,11.8031669783518,11.8251161911364,27357.7773435766,1.00006494617255
"ln_pred[41]",11.8145740684547,9.82353150658299e-05,0.0164381476342604,11.7823878180656,11.803562377692,11.814564876054,11.8255927523659,11.8468207446187,28000.8018625274,1.00006442378604
"ln_pred[42]",11.8420902702326,9.31758857098076e-05,0.0158333137729104,11.8110681462579,11.8314690200157,11.8420633875933,11.8527026971565,11.8731761972235,28875.9696880173,1.00006359513633
"ln_pred[43]",11.8368490887319,9.41254930602628e-05,0.0159460379969333,11.8056249167935,11.8261293261596,11.8368223651213,11.8475375741144,11.868164476314,28700.6056093265,1.00006377102678
"pred[1]",183307.439062413,11.2946679918164,2261.28586981045,178912.855162676,181772.973722087,183298.238648233,184824.197470092,187796.804327083,40083.3489282504,1.00003846609772
"pred[2]",300572.629649484,38.4668329892057,6153.02733111548,288656.078983821,296455.752974211,300500.808757275,304668.126076728,312795.306347636,25586.1431030576,1.00002367527921
"pred[3]",224021.088316869,16.6247459123503,3103.70142511538,217919.867087885,221902.626543482,223986.113418258,226106.95063405,230155.052410182,34853.7762203635,1.00002150713702
"pred[4]",218650.539020529,15.5329342163159,2951.10964801264,212854.197169034,216638.244607335,218623.835478274,220627.891322714,224485.943882152,36096.3829908077,1.00002244790957
"pred[5]",308111.743171661,41.039748537336,6516.93771132674,295514.717749478,303745.057659108,308023.964790085,312434.454432405,321093.764559971,25216.0907019519,1.00002426028675
"pred[6]",272676.186665695,29.4852549768373,4889.72737433263,263198.055256884,269393.538652187,272626.024227359,275938.141037511,282326.040785496,27501.6984701787,1.00002152314629
